reference_id,title,journal,publication_date,volume,issue,pages,doi,pmid,url,notes,created_at,updated_at
RE00430,Positron emission tomography evaluation of somatostatin receptor targeted 64Cu-TATE-liposomes in a human neuroendocrine carcinoma mouse model,Journal of controlled release : official journal of the Controlled Release Society,2012-01-05,160,2,254-63, 10.1016/j.jconrel.2011.12.038,22245688,https://doi.org/10.1016/j.jconrel.2011.12.038,,,
RE00431,Quantitative and qualitative intrapatient comparison of 68Ga-DOTATOC and 68Ga-DOTATATE: net uptake rate for accurate quantification,"Journal of nuclear medicine : official publication, Society of Nuclear Medicine",2013-12-30,55,2,204-10, 10.2967/jnumed.113.126177,24379222,https://doi.org/10.2967/jnumed.113.126177,,,
RE00432,Treatment of transplanted tumor of lung adenocarcinoma A549 transfected by human somatostatin receptor subtype 2 (hsstr2) gene with 188Re-RC-160,Nuclear medicine and biology,2010-07-24,37,8,977-87,10.1016/j.nucmedbio.2010.05.007,21055629,https://doi.org/10.1016/j.nucmedbio.2010.05.007,,,
RE00433,Biodistribution of the Ga-68 labeled somatostatin analogue DOTA-NOC in patients with neuroendocrine tumors: characterization of uptake in normal organs and tumor lesions,"The quarterly journal of nuclear medicine and molecular imaging : official publication of the Italian Association of Nuclear Medicine (AIMN) [and] the International Association of Radiopharmacology (IAR), [and] Section of the Society of...",2010-02-01,54,1,,10.5603/NMR.2011.0004,20168287,https://doi.org/10.5603/NMR.2011.0004,,,
RE00434,Midline-1 regulates effector T cell motility in experimental autoimmune encephalomyelitis via mTOR/microtubule pathway,Theranostics,2024-01-20,14,3,1168-1180,10.7150/thno.87130,38323310,https://doi.org/10.7150/thno.87130,,,
RE00435,Naphthalene-containing octreotide radioligand elevates selectivity and radionuclide therapy for somatostatin receptor 2-positive tumor,"Colloids and surfaces. B, Biointerfaces",2025-07-11,255,,114945,10.1016/j.colsurfb.2025.114945,40663863,https://doi.org/10.1016/j.colsurfb.2025.114945,,,
RE00436,Synthesis and Evaluation of Two Long-Acting SSTR2 Antagonists for Radionuclide Therapy of Neuroendocrine Tumors,"Pharmaceuticals (Basel, Switzerland)",2022-09-16,15,9,1155, 10.3390/ph15091155,36145375,https://doi.org/10.3390/ph15091155,,,
RE00437,225Ac-MACROPATATE: A Novel α-Particle Peptide Receptor Radionuclide Therapy for Neuroendocrine Tumors,"Journal of nuclear medicine : official publication, Society of Nuclear Medicine",2022-11-17,64,4,549-554,10.2967/jnumed.122.264707,36396453,https://doi.org/10.2967/jnumed.122.264707,,,
RE00438,"177Lu-DOTA-EB-TATE, a Radiolabeled Analogue of Somatostatin Receptor Type 2, for the Imaging and Treatment of Thyroid Cancer",Clinical cancer research : an official journal of the American Association for Cancer Research ,2020-12-22,27,5,1399-1409,10.1158/1078-0432.CCR-20-3453,33355247,https://doi.org/10.1158/1078-0432.CCR-20-3453,,,
RE00439,Side-by-Side Comparison of the In Vivo Performance of [212Pb]Pb-DOTAMTATE and Other SSTR2-Targeting Compounds,"Journal of nuclear medicine : official publication, Society of Nuclear Medicine",2025-03-03,66,3,391-397,10.2967/jnumed.124.268345,39884771,https://doi.org/10.2967/jnumed.124.268345,,,
