drug_id,reference_id,note,created_at,updated_at
RDC00166,RE00135,,,
RDC00167,RE00135,,,
RDC00168,RE00136,,,
RDC00169,RE00136,,,
RDC00173,RE00140,,,
RDC00174,RE00141,,,
RDC00175,RE00141,,,
RDC00176,RE00142,,,
RDC00177,RE00143,,,
RDC00179,RE00144,,,
RDC00179,RE00145,,,
RDC00181,RE00146,,,
RDC00182,RE00146,,,
RDC00183,RE00147,,,
RDC00184,RE00147,,,
RDC00185,RE00148,,,
RDC00186,RE00149,,,
RDC00187,RE00149,,,
RDC00188,RE00149,,,
RDC00189,RE00149,,,
RDC00191,RE00151,,,
RDC00192,RE00152,,,
RDC00193,RE00152,,,
RDC00194,RE00153,,,
RDC00195,RE00154,,,
RDC00196,RE00154,,,
RDC00197,RE00155,,,
RDC00111,RE00155,,,
RDC00198,RE00156,,,
RDC00199,RE00156,,,
RDC00200,RE00157,,,
RDC00201,RE00158,,,
RDC00202,RE00158,,,
RDC00204,RE00160,,,
RDC00205,RE00160,,,
RDC00206,RE00160,,,
RDC00207,RE00161,,,
RDC00208,RE00161,,,
RDC00209,RE00161,,,
RDC00210,RE00162,,,
RDC00211,RE00163,,,
RDC00212,RE00164,,,
RDC00213,RE00164,,,
RDC00214,RE00164,,,
RDC00215,RE00164,,,
RDC00216,RE00165,,,
RDC00221,RE00167,,,
RDC00222,RE00167,,,
RDC00223,RE00167,,,
RDC00229,RE00171,,,
RDC00230,RE00171,,,
RDC00231,RE00172,,,
RDC00232,RE00172,,,
RDC00233,RE00172,,,
RDC00234,RE00172,,,
RDC00235,RE00172,,,
RDC00236,RE00173,,,
RDC00237,RE00173,,,
RDC00238,RE00174,,,
RDC00239,RE00174,,,
RDC00240,RE00175,,,
RDC00241,RE00176,,,
RDC00242,RE00176,,,
RDC00244,RE00178,,,
RDC00245,RE00178,,,
RDC00100,RE00179,,,
RDC00247,RE00180,,,
RDC00248,RE00181,,,
RDC00249,RE00181,,,
RDC00250,RE00181,,,
RDC00251,RE00182,,,
RDC00252,RE00183,,,
RDC00253,RE00183,,,
RDC00254,RE00184,,,
RDC00255,RE00184,,,
RDC00256,RE00185,,,
RDC00260,RE00192,,,
RDC00261,RE00192,,,
RDC00263,RE00193,,,
RDC00264,RE00193,,,
RDC00265,RE00194,,,
RDC00266,RE00195,,,
RDC00274,RE00197,,,
RDC00277,RE00199,,,
RDC00278,RE00200,,,
RDC00285,RE00203,,,
RDC00286,RE00204,,,
RDC00288,RE00206,,,
RDC00290,RE00207,,,
RDC00291,RE00207,,,
RDC00292,RE00207,,,
RDC00294,RE00208,,,
RDC00295,RE00209,,,
RDC00296,RE00210,,,
RDC00297,RE00211,,,
RDC00298,RE00212,,,
RDC00300,RE00213,,,
RDC00302,RE00214,,,
RDC00303,RE00214,,,
RDC00304,RE00215,,,
RDC00307,RE00216,,,
RDC00308,RE00216,,,
RDC00310,RE00218,,,
RDC00311,RE00219,,,
RDC00313,RE00221,,,
RDC00314,RE00222,,,
RDC00315,RE00223,,,
RDC00316,RE00223,,,
RDC00317,RE00223,,,
RDC00318,RE00224,,,
RDC00319,RE00224,,,
RDC00327,RE00225,,,
RDC00328,RE00226,,,
RDC00329,RE00227,,,
RDC00330,RE00227,,,
RDC00331,RE00228,,,
RDC00332,RE00228,,,
RDC00333,RE00229,,,
RDC00334,RE00229,,,
RDC00335,RE00230,,,
RDC00336,RE00231,,,
RDC00337,RE00232,,,
RDC00338,RE00233,,,
RDC00339,RE00234,,,
RDC00341,RE00235,,,
RDC00131,RE00236,,,
RDC00309,RE00237,,,
RDC00312,RE00238,,,
RDC00327,RE00239,,,
RDC00328,RE00240,,,
RDC00330,RE00241,,,
RDC00329,RE00241,,,
RDC00351,RE00242,,,
RDC00139,RE00243,,,
RDC00336,RE00244,,,
RDC00337,RE00245,,,
RDC00338,RE00246,,,
RDC00340,RE00247,,,
RDC00342,RE00248,,,
RDC00343,RE00248,,,
RDC00341,RE00248,,,
RDC00348,RE00249,,,
RDC00349,RE00250,,,
RDC00350,RE00251,,,
RDC00351,RE00252,,,
RDC00353,RE00253,,,
RDC00357,RE00254,,,
RDC00358,RE00255,,,
RDC00359,RE00255,,,
RDC00369,RE00256,,,
RDC00371,RE00256,,,
RDC00372,RE00257,,,
RDC00374,RE00258,,,
RDC00376,RE00259,,,
RDC00377,RE00259,,,
RDC00378,RE00260,,,
RDC00379,RE00260,,,
RDC00380,RE00260,,,
RDC00381,RE00260,,,
RDC00382,RE00261,,,
RDC00383,RE00262,,,
RDC00384,RE00262,,,
RDC00385,RE00263,,,
RDC00386,RE00264,,,
RDC00387,RE00265,,,
RDC00389,RE00267,,,
RDC00390,RE00267,,,
RDC00391,RE00268,,,
RDC00392,RE00268,,,
RDC00394,RE00269,,,
RDC00397,RE00269,,,
RDC00398,RE00270,,,
RDC00399,RE00270,,,
RDC00402,RE00271,,,
RDC00403,RE00272,,,
RDC00406,RE00273,,,
RDC00407,RE00274,,,
RDC00408,RE00274,,,
RDC00409,RE00274,,,
RDC00410,RE00274,,,
RDC00411,RE00275,,,
RDC00412,RE00275,,,
RDC00413,RE00275,,,
RDC00416,RE00276,,,
RDC00417,RE00276,,,
RDC00419,RE00277,,,
RDC00336,RE00278,,,
RDC00423,RE00279,,,
RDC00424,RE00279,,,
RDC00425,RE00279,,,
RDC00426,RE00280,,,
RDC00427,RE00281,,,
RDC00185,RE00282,,,
RDC00431,RE00282,,,
RDC00435,RE00283,,,
RDC00437,RE00284,,,
RDC00438,RE00285,,,
RDC00439,RE00286,,,
RDC00440,RE00287,,,
RDC00443,RE00288,,,
RDC00444,RE00289,,,
