drug_id,indication_id,evidence,created_at,updated_at
RDC00176,IN00006,,,
RDC00177,IN00070,,,
RDC00179,IN00041,,,
RDC00180,IN00012,,,
RDC00181,IN00009,,,
RDC00182,IN00009,,,
RDC00183,IN00100,,,
RDC00184,IN00100,,,
RDC00185,IN00011,,,
RDC00185,IN00019,,,
RDC00186,IN00007,,,
RDC00187,IN00007,,,
RDC00188,IN00007,,,
RDC00189,IN00007,,,
RDC00191,IN00020,,,
RDC00191,IN00007,,,
RDC00191,IN00022,,,
RDC00191,IN00023,,,
RDC00192,IN00006,,,
RDC00193,IN00006,,,
RDC00194,IN00009,,,
RDC00195,IN00007,,,
RDC00195,IN00011,,,
RDC00195,IN00024,,,
RDC00195,IN00025,,,
RDC00196,IN00007,,,
RDC00197,IN00009,,,
RDC00198,IN00006,,,
RDC00198,IN00042,,,
RDC00198,IN00056,,,
RDC00199,IN00006,,,
RDC00199,IN00042,,,
RDC00199,IN00056,,,
RDC00200,IN00006,,,
RDC00200,IN00042,,,
RDC00200,IN00056,,,
RDC00201,IN00006,,,
RDC00201,IN00042,,,
RDC00201,IN00056,,,
RDC00202,IN00006,,,
RDC00202,IN00042,,,
RDC00202,IN00056,,,
RDC00204,IN00006,,,
RDC00204,IN00042,,,
RDC00204,IN00056,,,
RDC00205,IN00006,,,
RDC00205,IN00042,,,
RDC00205,IN00056,,,
RDC00206,IN00006,,,
RDC00206,IN00042,,,
RDC00206,IN00056,,,
RDC00207,IN00006,,,
RDC00207,IN00042,,,
RDC00207,IN00056,,,
RDC00208,IN00006,,,
RDC00208,IN00042,,,
RDC00208,IN00056,,,
RDC00209,IN00006,,,
RDC00209,IN00042,,,
RDC00209,IN00056,,,
RDC00210,IN00006,,,
RDC00210,IN00042,,,
RDC00210,IN00056,,,
RDC00211,IN00003,,,
RDC00211,IN00007,,,
RDC00211,IN00009,,,
RDC00211,IN00018,,,
RDC00211,IN00024,,,
RDC00211,IN00026,,,
RDC00211,IN00027,,,
RDC00211,IN00057,,,
RDC00212,IN00009,,,
RDC00213,IN00007,,,
RDC00214,IN00006,,,
RDC00214,IN00042,,,
RDC00214,IN00056,,,
RDC00215,IN00007,,,
RDC00216,IN00006,,,
RDC00221,IN00006,,,
RDC00221,IN00042,,,
RDC00221,IN00056,,,
