affinity_id,chemical_entity_id,affinity_type,affinity_symbols,affinity_value,affinity_unit,description,source,created_at,updated_at
CHAF00308,LIG00246,KD,=,0.24,nM,Determined by SPR measurements for human PD-L1,,,
CHAF00309,LIG00599,KD,=,0.8,nM,High affinity binding to human PD-L1 determined by SPR,,,
CHAF00310,LIG00237,KD,=,23,nM,High affinity binding to PD-L1,,,
CHAF00311,CC01253,KD,=,47.23,pM,Determined by SPR measurements for human PD-L1,,,
CHAF00312,CC01254,KD,=,79.51,pM,Determined by SPR measurements for human PD-L1,,,
CHAF00313,CC01255,KD,=,105.6,pM,Determined by SPR measurements for human PD-L1,,,
CHAF00314,LIG00600,KD,=,3.38,pM,"ABDRW102 has a high affinity with HSA, with corresponding KD valu",,,
CHAF00315,LIG00600,KD,=,52.74,pM,"ABDRW102 has a high affinity with MSA, with corresponding KD valu",,,
CHAF00316,LIG00601,KD,=,2.582,nM,Determined by SPR measurements for mouse PD-L1,,,
CHAF00317,LIG00612,KD,=,1.38,nM,High affinity binding to human PD-L1,,,
CHAF00318,LIG00613,KD,=,25.1,nM,Moderate affinity binding to PD-L1,,,
CHAF00319,LIG00616,EC50,=,7.8 * 10^−10 ,M,Enzyme-linked immunosorbent assay (ELISA) analysis of the binding affinities of anti-PD-L1 Fab fragments for wild type,,,
CHAF00320,LIG00616,EC50,=,7.3 * 10^−10,M,Enzyme-linked immunosorbent assay (ELISA) analysis of the binding affinities of anti-PD-L1 Fab fragments for the mutant,,,
CHAF00321,LIG00237,IC50,=,22,nM,Efficiently inhibits PD-1/PD-L1 interaction,,,
CHAF00322,LIG00623,IC50,=,1.45,nM,in vitro competitive binding assay in B16F10 cells,,,
CHAF00323,CC01284,IC50,=,4.15,nM,in vitro competitive binding assay in B16F10 cells,,,
CHAF00324,LIG00624,IC50,=,0.32,nM,in vitro competitive binding assay in B16F10 cells,,,
CHAF00325,LIG00625,Ka,=,9.9,nM,Protease-activatable antibody with masked binding region for human PD-L1,,,
CHAF00326,LIG00625,Ka,=,152,nM,Protease-activatable antibody with masked binding region for murine PD-L1,,,
CHAF00327,LIG00626,KD,=,0.26,nM,The binding affinity for human protein was assessed by SPR technology,,,
CHAF00328,LIG00626,KD,=,0.284,nM,The binding affinity for monkey protein was assessed by SPR technology,,,
CHAF00329,CC01287,KD,=,389,PM,The binding affinity of  DFO-REGN3504 was also assessed by SPR technology for monomeric human  PD-L1,,,
CHAF00330,CC01287,KD,=,481,PM,The binding affinity of  DFO-REGN3504 was also assessed by SPR technology for monomeric and monkey PD-L1,,,
CHAF00331,LIG00626,KD,=,4.38,nM,REGN3504  blocked the interaction of human PD-L1 and CD80 with IC50 values of 4.38 nM,,,
CHAF00332,CC01287,KD,=,5.12,nM,DFO-REGN3504 blocked the interaction of human PD-L1 and CD80 with IC50 values of 5.12 nM,,,
CHAF00333,LIG00626,KD,=,4.22,nM,REGN3504 blocked the interaction of monkey PD-L1 and human CD80 with IC50 values of 4.22 nM,,,
CHAF00334,CC01287,KD,=,5.63,nM,REGN3504 and DFO-REGN3504 blocked the interaction of monkey PD-L1 and human CD80 with IC50 values of 5.63 nM,,,
CHAF00335,LIG00626,KD,=,260,PM,The binding affinity of  REGN3504 was also assessed by SPR technology for monomeric human and monkey PD-L1,,,
CHAF00336,CC01287,KD,=,280,PM,The binding affinity of  DFO-REGN3504 was also assessed by SPR technology for monomeric human and monkey PD-L1,,,
CHAF00337,CC00587,Kd,=,0.64,nM,"The affinity of DN68 to Nectin4 was determined using surface plas mon resonance (SPR) technology at Nanjing Genscriptprobio. The experiments were conducted with an SPR biosensor (Biacore 8K, Cytiva, USA) to obtain the Kd value. The recombinant human Nectin4-His protein (NE4-H52H3, Acro Biosystems) was employed for SPR detection, and data were collected under pH7.4 PBS-P buffer conditions with a Flow rate of 30 μL/mL Nectin4, utilizing a 1:1 binding ratio.",,,
CHAF00338,CC00589,KD,=,23.7,nM,Surface Plasmon Resonance (SPR) (from previous study),,,
CHAF00339,CC00590,KD,=,1.718,nM,Surface Plasmon Resonance (SPR) (from previous study),,,
CHAF00340,CC00591,EC₅₀,=,0.83,μg/mL,Determined by ELISA,,,
CHAF00341,CC00592,EC₅₀,=,0.83,μg/mL,Determined by ELISA,,,
CHAF00342,LIG00629,IC50,=,27,nM,,,,
CHAF00343,CC01299,IC50,=,13.1 ± 2.2,nM,"Competitive binding assay on LNCaP cells with [¹²⁵I]I-BA-KuE as radioligand, 4°C, 1 h",,,
CHAF00344,CC00618,KD,=,2.3,nM,IC50 = 2.3 nM in vitro PSMA binding,,,
CHAF00345,CC01301,KD,=,3.3 ± 0.2,nM,Kd = 3.3 ± 0.2 nM in PSMA+ cells,,,
CHAF00346,CC01304,KD,=,4.5,nM,Saturation ELISA,,,
CHAF00347,CC01305,KD,=,27.4,nM,Saturation binding on PC-310 tumor frozen sections,,,
CHAF00348,CC01308,KD,=,8.6,nM,Biacore analysis,,,
CHAF00349,LIG00267,KD,=,4.7,nM,,,,
CHAF00350,CC01328,KD,=,1.76 ± 0.69,nM,Binding affinity to PSMA on intact LNCaP cells,,,
CHAF00351,CC00617,Kd,=,19.3 ± 2.5,nM,68/natGa-CC34 xhibited high affinity for the LNCaP cells,,,
CHAF00352,CC00617,Kd,=,27.5 ± 2.7,nM,64/natGa-CC34 xhibited high affinity for the LNCaP cells,,,
CHAF00353,CC00617,Kd,=,5.5 ± 0.9,nM,11/natIn-CC34 xhibited high affinity for the LNCaP cells,,,
CHAF00354,CC00619,Kd,=,5.4 ± 0.8,nM,Saturation binding assay on PSMA-positive LNCaP cells.,,,
CHAF00355,LIG00268,IC50,=,4.3,nM,,,,
CHAF00356,LIG00267,IC50,=,58.2,nM,"Determined by in vitro competition binding assays using 22Rv1-FOLH1-oe (PSMA+) cells, with [1??Lu]Lu-PSMA-617 as ""hot"" ligand",,,
CHAF00357,CC00659,IC50,=,​​187 ± 41,nM,Competitive cell-binding assay using PSMA-positive LNCaP cells and 125I-12 as the radioligand.,,,
