affinity_id,chemical_entity_id,affinity_type,affinity_symbols,affinity_value,affinity_unit,description,source,created_at,updated_at
CHAF00472,CC00925,IC50,=,0.37 ± 0.03,nM,"Displacement of [125I]I-[Tyr4]BBN by increasing concentrations of DB15 ( IC50 = 0.37 ± 0.03 nM) or [Tyr4]BBN ( reference, 1.33 ± 0.09 nM) from PC-3 cell membrane homogenates",,,
CHAF00473,CC00926,IC50,=,0.93 ± 0.01,nM,Displacement of [125I][I-Tyr4]BBN from GRPR binding sites in PC-3 cell membranes by increasing concentrations,,,
CHAF00474,CC00927,IC50,=,1.03 ± 0.01,nM,Displacement of [125I][I-Tyr4]BBN from GRPR binding sites in PC-3 cell membranes by increasing concentrations,,,
CHAF00475,CC00928,IC50,=,1.18 ± 0.09,nM,Displacement of [125I][I-Tyr4]BBN from GRPR binding sites in PC-3 cell membranes by increasing concentrations,,,
CHAF00476,LIG00128,IC50,=,0.12 ± 0.03,nM,All of these peptides inhibited the GRPR-binding of 125I-[Tyr4]BBN on PC-3 cells in a concentration-dependent manner,,,
CHAF00477,LIG00128,IC50,=,0.32 ± 0.08,nM,All of these peptides inhibited the GRPR-binding of 125I-[Tyr4]BBN on PC-3 cells in a concentration-dependent manner,,,
CHAF00478,CC00929,IC50,=,1.3 ± 0.35,nM,All of these peptides inhibited the GRPR-binding of 125I-[Tyr4]BBN on PC-3 cells in a concentration-dependent manner,,,
CHAF00479,CC00930,IC50,=,3.5 ± 0.85,nM,All of these peptides inhibited the GRPR-binding of 125I-[Tyr4]BBN on PC-3 cells in a concentration-dependent manner,,,
CHAF00480,CC00854,IC50,=,2.8 ±0.2,nM,Competitive binding assay PEG2,,,
CHAF00481,CC00917,IC50,=,4.7 ±0.7,nM,Competitive binding assay,,,
CHAF00482,CC00918,IC50,=,2 ±0.2,nM,Competitive binding assay,,,
CHAF00483,CC01001,IC50,=,4.4 ± 0.4,nM,Competitive binding assay PEG2,,,
CHAF00484,CC01614,IC50,=,0.32 ± 0.03,nM,Displacement of ¹²⁵I-[Tyr⁴]BBN on PC-3 cell membranes,,,
CHAF00485,CC01615,IC50,=,0.63 ± 0.06,nM,Displacement of ¹²⁵I-[Tyr⁴]BBN on PC-3 cell membranes,,,
CHAF00486,CC01617,IC50,=,49 ± 5 nM (with HSA),nM,High affinity for GRPR,,,
CHAF00487,CC00946,KD,=,10,nM,Binding to GRPR in PC-3 tumor sections using [¹²⁵I-Tyr⁴]-BBN as tracer,,,
CHAF00488,CC00948,KI,=,8.64±2.16,nM,"High binding affinity for GRPR, moderate binding affinity for αᵥβ₃ integrin in vitro",,,
CHAF00489,CC00949,KD,=,20,nM,Competitive binding assay with ¹²⁵I-Tyr⁴-BN(1−14) as GRPR-specific radioligand in PC-3 cells,,,
CHAF00490,CC00950,Ki,=,1.60 ± 0.59,nM,Affinity for GRPR on T47D breast cancer cells,,,
CHAF00491,CC00950,Ki,=,4.87 ± 1.27,nM,"Affinity for GRPR on T47D breast cancer cells, significantly lower than that of Cu(II)/NOTA-PEG-BBN(6-14)",,,
CHAF00492,CC00951,KD,=,1.4±0.2,nM,"Determined by receptor autoradiography on human cancer samples (GRPR-expressing prostate carcinoma, NMBR-expressing ileal carcinoid, BB₃R-expressing bronchial carcinoid) against the universal radioligand ¹²⁵I-[DTyr⁶, βAla¹¹, Phe¹³, Nle¹⁴]BBN(6-14)",,,
CHAF00493,CC00953,KD,=,0.32 ± 0.03,nM,"Affinity for GRPR, NMBR, and BB₃R determined by competition binding assays against [¹²⁵I-Tyr⁴]BBN",,,
CHAF00494,CC01620,Ki,=,19.67 ± 1.17,nM,Competitive binding assay by displacement of ¹²⁵I-Tyr⁴-bombesin on PC-3 cells,,,
CHAF00495,CC00954,Ki,=,0.5 ± 0.1,nM,Determined by in vitro GRPr autoradiography on cryostat sections of well-characterized prostate carcinomas using ¹²⁵I-Tyr⁴-bombesin as radioligand,,,
CHAF00496,CC00955,Ki,=,2.1 ± 0.3,nM,Determined by in vitro GRPr autoradiography on cryostat sections of well-characterized prostate carcinomas using ¹²⁵I-Tyr⁴-bombesin as radioligand,,,
CHAF00497,CC01621,Ki,=,1.5,um,Determined by measuring fluorescence intensity as BBN₇₋₁₄-FITC concentration increased to saturation in CFPAC-1 cells,,,
CHAF00498,CC01622,KI,=,18 ± 7,nM,"Binding affinity to GRPr, determined by in vitro GRPr autoradiography on cryostat sections of prostate carcinomas using ¹²⁵I-Tyr⁴-bombesin",,,
CHAF00499,CC00956,IC50,=,5.39 ± 1.37,nM,Half-maximal inhibitory concentration in competitive displacement binding assays,,,
CHAF00500,CC00957,KI,=,10.61±4.55,nM,Affinity for GRPR determined with [125I−Tyr4]bombesin in T47D human breast cancer cell line,,,
CHAF00501,CC01623,KI,=,6.13±2.72,nM,Affinity for GRPR determined with [125I−Tyr4]bombesin in T47D human breast cancer cell line,,,
CHAF00502,CC00961,IC50,=,2.2±0.5,nM,IC50​ determined by competitive binding assay using 125I-[Tyr⁴]BBN as radioligand on PC-3 cells; Kd​ of 125I-[Tyr⁴]BBN against PC-3 cells estimated by saturation binding assay and Scatchard transformation,,,
CHAF00503,LIG00349,KI,=,1.05±0.4,nM,IC50 and Kᵢ determined in human bombesin 2 receptor; Kd determined in GRPR-expressing PC-3 tumor cells,,,
CHAF00504,CC01626,IC50,=,1.03,mM,IC50 values determined by XTT and Trypan Blue Exclusion Test for HYNIC-Q-Litorin in different cell lines,,,
CHAF00505,CC00964,IC50,=,3.5 ± 0.5,nM,The binding of 125I-Tyr4-bombesin to PC-3 cells ,,,
CHAF00506,CC00965,IC50,=,7.72,nM,Competition Binding Assay for GRPr on PC-3 cells,,,
CHAF00507,CC00965,IC50,=,3.33,nM,Competition Binding Assay for GRPr on AR42J cells,,,
CHAF00508,CC00965,IC50,=,25.4,nM,Competition Binding Assay for GRPr on LNCaP cells,,,
CHAF00509,CC00972,IC50,=,​​1.8 ± 0.4 ,"​

nM","In vitro competitive binding assays, using 125I‐Tyr4‐BBN as the radiolabelling gold standard, demonstrated IC50 values in the nanomolar range for all the new non‐metallated conjugates",,,
CHAF00510,CC00970,IC50,=,3.9 ± 0.4,"​

nM","In vitro competitive binding assays, using 125I‐Tyr4‐BBN as the radiolabelling gold standard, demonstrated IC50 values in the nanomolar range for all the new non‐metallated conjugates",,,
CHAF00511,CC00971,IC50,=,1.9 ± 0.3,"​

nM","In vitro competitive binding assays, using 125I‐Tyr4‐BBN as the radiolabelling gold standard, demonstrated IC50 values in the nanomolar range for all the new non‐metallated conjugates",,,
CHAF00512,CC00969,IC50,=,​1.3 ± 0.2,"​

nM","In vitro competitive binding assays, using 125I‐Tyr4‐BBN as the radiolabelling gold standard, demonstrated IC50 values in the nanomolar range for all the new non‐metallated conjugates",,,
CHAF00513,CC00977, IC50,=,17.0 ± 7.0,nM,Determined by in vitro receptor autoradiography on human prostate carcinoma sections for cold compound.,,,
CHAF00514,CC00977, IC50,=,8.6 ± 2.7,nM,Determined by in vitro receptor autoradiography on human prostate carcinoma sections for cold compound (natLu).,,,
CHAF00515,CC00978,IC50,=,18.0 ±6.4,nM,Determined by in vitro receptor autoradiography on human prostate carcinoma sections for cold compound.,,,
CHAF00516,CC00978,IC50,=,6.2 ± 0.6,nM,Determined by in vitro receptor autoradiography on human prostate carcinoma sections for cold compound (natLu).,,,
CHAF00517,CC00979,IC50,=,19.3 ± 1.1,nM,Determined by in vitro receptor autoradiography on human prostate carcinoma sections for cold compound.,,,
CHAF00518,CC00979,IC50,=,9.9 ± 2.9,nM,Determined by in vitro receptor autoradiography on human prostate carcinoma sections for cold compound (natLu).,,,
CHAF00519,CC00981,IC50,=,0.7,nM,Displacement of [¹²⁵I-Tyr⁴]BBN from GRPR in PC-3 membranes,,,
CHAF00520,CC00982,IC50,=,0.72,nM,Displacement of [¹²⁵I-Tyr⁴]BBN from GRPR in PC-3 membranes,,,
CHAF00521,CC00983,IC50,=,0.93,nM,Displacement of [¹²⁵I-Tyr⁴]BBN from GRPR in PC-3 membranes,,,
CHAF00522,CC00984,IC50,=,0.26,nM,Displacement of [¹²⁵I-Tyr⁴]BBN from GRPR in PC-3 membranes,,,
CHAF00523,CC00985,IC50,=,0.56,nM,Displacement of [¹²⁵I-Tyr⁴]BBN from GRPR in PC-3 membranes,,,
CHAF00524,CC00986,IC50,=,6.76,nM," Value of the cold peptide, DOTA-sBBNA [12]",,,
CHAF00525,CC00987,IC50,=,2.22,nM,Competition binding assay in PC-3 cells,,,
CHAF00526,CC01628,IC50,=,4.67,nM,"Value for the unlabeled peptide, DOTA-gluBBN [1]",,,
CHAF00527,CC00989,IC50,=,3.9,µM,Displacement of ¹²⁵I-Tyr⁴-BN on PC-3 cells,,,
CHAF00528,CC00990,IC50,=,0.0905,µM,Displacement of ¹²⁵I-Tyr⁴-BN on PC-3 cells,,,
CHAF00529,CC00584,KD,=,0.98 ± 0.48,nM,Inhibition constant of ⁿᵃᵗCu/NOTA-PEG-RM26 against [¹²⁵I]-Tyr⁴-BBN on PC3 cells,,,
CHAF00530,CC00991,KD,=,0.95± 0.21,nM,Inhibition constant of ⁿᵃᵗCu/NOTA-APCA-RM26 against [¹²⁵I]-Tyr⁴-BBN on PC3 cells,,,
CHAF00531,CC00992,KD,=,17.97± 2.79,nM,Inhibition constant of ⁿᵃᵗCu/NOTA-AHDA-RM26 against [¹²⁵I]-Tyr⁴-BBN on PC3 cells,,,
CHAF00532,CC00974,IC50,=,1.80 ± 0.67,nM,Competitive binding assay vs. ¹²⁵I-[Tyr⁴]BBN on PC-3 cells,,,
CHAF00533,CC00994,IC50,=,2.05 ± 0.50,nM,Competitive binding assay vs. ¹²⁵I-[Tyr⁴]BBN on PC-3 cells,,,
CHAF00534,CC00995,Ki,=,0.68 ± 0.19,nM,Competitive binding assay vs. [¹²⁵I]-Tyr⁴-BBN on PC3 cells,,,
CHAF00535,CC00996,IC50,=,2.3,nM,Competitive binding assay vs. [¹²⁵I]-Tyr⁴-BBN on PC-3 cells (from previous study),,,
CHAF00536,CC00997,Kᵢ,=,3.97 ± 0.76,nM,Binding affinity to GRPR on PC-3 cells,,,
CHAF00537,CC01636,IC50,=,0.60 ± 0.06 nM,nM,Affinity for hCXCR4,,,
CHAF00538,CC01728,EC50,=,0.522,nM,High affinity for human CD8 T cells,,,
CHAF00539,CC01729,KD,=,692,pM,Binding affinity of REGN5054 to  monomeric hCD8A.mmH protein determined by Surface Plasmon Resonance (SPR).,,,
CHAF00540,CC01729,KD,=,30.3,pM,Binding affinity of REGN5054 to for dimeric hCD8A.mFc protein determined by Surface Plasmon Resonance (SPR).,,,
CHAF00541,CC01735,KD,=,5.06 ± 0.75,nM,Binding affinity of CED8 to human CD8-Fc measured by SPR,,,
CHAF00542,CC01759,KD,=,4.6*10^^-10,M,High binding affinity to human CD8 protein and CD8+cells,,,
CHAF00543,CC01736,EC50,=,47.7–49.1,ng/mL,Binds to recombinant human CD8 Fc fusion protein.,,,
CHAF00544,CC01739,KD,=,0.39 ±0.05,nM,,,,
CHAF00545,CC01742,Ki,=,1.37,nM,Binding affinity to MC1R on B16F10 melanoma cells,,,
CHAF00546,LIG00827,KD,=,0.65,nM,The dissociation constant (KD) of IMB16 binding to CD30 was measured by Biolayer Interferometry (BLI).,,,
CHAF00547,LIG00833,KD,=,"3.3 ± 0.3 (for MSTO-211H cells), 5.9 ± 1.3 (for NCI-H226 cells)",Nm,The apparent equilibrium dissociation constant (KDAPP) for chOI-3 binding to CD146 was determined by saturation binding experiments on mesothelioma cell lines using flow cytometry.,,,
CHAF00548,LIG00834,IC50,=,91.57,Nm,The inhibitory concentration of 50% (IC50) for ABDB6 binding to TMD8 cells was determined by a competitive binding assay,,,
CHAF00549,LIG00837,KD,=,0.16,Nm,The dissociation constant (KD) of PFCM01 binding to the c-Met protein was determined by bio-layer interferometry (BLI) analysis.,,,
CHAF00550,LIG00823,KD,=,3.06,nM,The dissociation constant (KD) of the peptides binding to the EphB4 receptor was determined by Surface Plasmon Resonance (SPR) analysis. Chelation of Cu2+ to DOTA-TNYL-RAW restored the high binding affinity.,,,
CHAF00551,CC01760,KD,=,23.3,nM,The dissociation constant (KD) of the peptides binding to the EphB4 receptor was determined by Surface Plasmon Resonance (SPR) analysis. Chelation of Cu2+ to DOTA-TNYL-RAW restored the high binding affinity.,,,
CHAF00552,CC01761,Binding activity,=,83.85,%,The binding activity of the DOTA-conjugated antibodies to the EphB4 receptor was evaluated through a bead-based binding assay with EphB4-alkaline phosphatase and expressed as a percentage of the binding activity of the unmodified antibody.,,,
CHAF00553,CC01762,Binding activity,=,76.25,%,The binding activity of the DOTA-conjugated antibodies to the EphB4 receptor was evaluated through a bead-based binding assay with EphB4-alkaline phosphatase and expressed as a percentage of the binding activity of the unmodified antibody.,,,
CHAF00554,CC01763,Binding activity,=,98.93,%,The binding activity of the DOTA-conjugated antibodies to the EphB4 receptor was evaluated through a bead-based binding assay with EphB4-alkaline phosphatase and expressed as a percentage of the binding activity of the unmodified antibody.,,,
CHAF00555,CC01764,Binding activity,=,82.09,%,The binding activity of the DOTA-conjugated antibodies to the EphB4 receptor was evaluated through a bead-based binding assay with EphB4-alkaline phosphatase and expressed as a percentage of the binding activity of the unmodified antibody.,,,
CHAF00556,LIG00844,Kd,=,13.1,nM,"The dissociation constant (Kd) of EPH-3 binding to EphA2 was determined to be 13.1 nM by surface plasmon resonance (SPR) experiments, indicating high affinity.",,,
CHAF00557,CC01768,Kd,=,20.4,nM,Surface plasmon resonance (SPR) analysis  in  AJ201 for mouse EphA2,,,
CHAF00558,CC01768,Kd,=,13.1,nM,Surface plasmon resonance (SPR) analysis  in AJ201 for human EphA2 - inferred from similar peptides in T.,,,
CHAF00559,LIG00845,Kd,=,9.43,nM,"The dissociation constant (Kd) of ETN binding to EphA2 was determined to be 9.43 nM by surface plasmon resonance (SPR) analysis, indicating high affinity. This is comparable to the parent compound BCY6164 (Kd = 5.59 nM).",,,
CHAF00560,CC01778,IC50,=,6.7,nM,"The interaction of the peptides with human uPAR was measured by surface plasmon resonance. The IC50 values for competing the uPA·uPAR interaction were 7.6±2.0 nM for AE105-NH2, 6.7±0.9 nM for DOTA-AE105-NH2, and 3.4±0.4 nM for NODAGA-AE105-NH2, indicating high affinity and that chelator conjugation did not reduce efficacy.",,,
CHAF00561,LIG00852,IC50,=,7.6,nM,"The interaction of the peptides with human uPAR was measured by surface plasmon resonance. The IC50 values for competing the uPA·uPAR interaction were 7.6±2.0 nM for AE105-NH2, 6.7±0.9 nM for DOTA-AE105-NH2, and 3.4±0.4 nM for NODAGA-AE105-NH2, indicating high affinity and that chelator conjugation did not reduce efficacy.",,,
CHAF00562,CC01779,IC50,=,3.4,nM,"The interaction of the peptides with human uPAR was measured by surface plasmon resonance. The IC50 values for competing the uPA·uPAR interaction were 7.6±2.0 nM for AE105-NH2, 6.7±0.9 nM for DOTA-AE105-NH2, and 3.4±0.4 nM for NODAGA-AE105-NH2, indicating high affinity and that chelator conjugation did not reduce efficacy.",,,
CHAF00563,LIG0853,IC50,=,6.99,nM,"The inhibition of the uPA-uPAR interaction was measured by Surface Plasmon Resonance. The IC50 values were in the low nM range, close to that of the unconjugated AE105-NH2 (IC50= 6.99 nM). Values for the conjugates were: NODAGA-AE105-NH2: 6.9±0.8 nM, NODAGA-AOC-AE105-NH2: 7.5±0.8 nM, NODAGA-PEG3-AE105-NH2: 20.46±1.6 nM, NODAGA-PEG8-AE105-NH2: 8.7±0.9 nM.",,,
CHAF00564,CC01785,IC50,=,7.5,nM,"The inhibition of the uPA-uPAR interaction was measured by Surface Plasmon Resonance. The IC50 values were in the low nM range, close to that of the unconjugated AE105-NH2 (IC50= 6.99 nM). Values for the conjugates were: NODAGA-AE105-NH2: 6.9±0.8 nM, NODAGA-AOC-AE105-NH2: 7.5±0.8 nM, NODAGA-PEG3-AE105-NH2: 20.46±1.6 nM, NODAGA-PEG8-AE105-NH2: 8.7±0.9 nM.",,,
CHAF00565,LIG00852,IC50,=,6.99,nM,"The inhibition of the uPA-uPAR interaction was measured by Surface Plasmon Resonance. The IC50 values were in the low nM range, close to that of the unconjugated AE105-NH2 (IC50= 6.99 nM). Values for the conjugates were: NODAGA-AE105-NH2: 6.9±0.8 nM, NODAGA-AOC-AE105-NH2: 7.5±0.8 nM, NODAGA-PEG3-AE105-NH2: 20.46±1.6 nM, NODAGA-PEG8-AE105-NH2: 8.7±0.9 nM.",,,
CHAF00566,CC01786,IC50,=,20.46,nM,"The inhibition of the uPA-uPAR interaction was measured by Surface Plasmon Resonance. The IC50 values were in the low nM range, close to that of the unconjugated AE105-NH2 (IC50= 6.99 nM). Values for the conjugates were: NODAGA-AE105-NH2: 6.9±0.8 nM, NODAGA-AOC-AE105-NH2: 7.5±0.8 nM, NODAGA-PEG3-AE105-NH2: 20.46±1.6 nM, NODAGA-PEG8-AE105-NH2: 8.7±0.9 nM.",,,
CHAF00567,LIG00852,IC50,=,6.99,nM,"The inhibition of the uPA-uPAR interaction was measured by Surface Plasmon Resonance. The IC50 values were in the low nM range, close to that of the unconjugated AE105-NH2 (IC50= 6.99 nM). Values for the conjugates were: NODAGA-AE105-NH2: 6.9±0.8 nM, NODAGA-AOC-AE105-NH2: 7.5±0.8 nM, NODAGA-PEG3-AE105-NH2: 20.46±1.6 nM, NODAGA-PEG8-AE105-NH2: 8.7±0.9 nM.",,,
CHAF00568,CC01787,IC50,=,8.7,nM,"The inhibition of the uPA-uPAR interaction was measured by Surface Plasmon Resonance. The IC50 values were in the low nM range, close to that of the unconjugated AE105-NH2 (IC50= 6.99 nM). Values for the conjugates were: NODAGA-AE105-NH2: 6.9±0.8 nM, NODAGA-AOC-AE105-NH2: 7.5±0.8 nM, NODAGA-PEG3-AE105-NH2: 20.46±1.6 nM, NODAGA-PEG8-AE105-NH2: 8.7±0.9 nM.",,,
CHAF00569,CC01835,Kd,=,0.1,nM,High-affinity binding to FR; cell uptake inhibited in FA-rich medium,,,
CHAF00570,CC01837,Kd,=,0.1,nM,High-affinity binding to FR; uptake blocked by excess folic acid,,,
CHAF00571,CC01838,Kd,=,0.1,nM,High-affinity binding to FR; uptake blocked by excess folic acid,,,
CHAF00572,CC01841,KD,=,5.61±0.96,nM,High-affinity binding to FR; excess folate blocks >85% cell-associated radioactivity,,,
CHAF00573,CC01846,KD,=,1.48,nM,Biolayer interferometry: Streptavidin-coated biosensors capture biotinylated CD38 extracellular domain; dip into 7 concentrations (2.5-50 nM) 2F8; transfer to buffer for dissociation; fit sensorgrams to 1:1 binding model,,,
CHAF00574,CC01847,KD,=,7.55±0.291,nM,"1. MST assay: purified CD38 protein labeled with NT647, peptide concentrations 0.0305 nM-1000 nM; 2. Cell binding assay: MM.1S-CBR-GFP-WT cells incubated with 300 nM tracer at 4 °C for 60 min",,,
CHAF00575,CC01853,KD,=,0.0826,nM,Surface plasmon resonance (SPR),,,
CHAF00576,LIG00894,KD,=,2.49*10^-8,M,SPR,,,
CHAF00577,CC00252,IC50,=,2,pM,,,,
CHAF00578,CC02142,Kd,=,93.8 ± 49.9,nM,"The binding interactions between the peptide ligands and recombinant GPC3 protein were assessed using MST with the Monolith NT.115 system (NanoTemper Technologies, Germany) and corresponding premium capillaries and reagents.42,43 Recombinant human GPC3 protein (Huazhi Tiancheng, Lanzhou, China) was used at a final concentration of 60 nM. To avoid potential artifacts caused by the metal chelate, the ligands tested were precursor peptides without radiometal complexation. Peptides were initially dissolved in DMSO, and to minimize signal fluctuations associated with excessively high ligand concentrations, the starting peptide concentration in the MST assay was set at 10 μM. From this concentration, serial two−fold dilutions were prepared down to 0.000305 μM.",,,
CHAF00579,CC02027,Kd,=,300.4 ± 151.9,nM,"The binding interactions between the peptide ligands and recombinant GPC3 protein were assessed using MST with the Monolith NT.115 system (NanoTemper Technologies, Germany) and corresponding premium capillaries and reagents.42,43 Recombinant human GPC3 protein (Huazhi Tiancheng, Lanzhou, China) was used at a final concentration of 60 nM. To avoid potential artifacts caused by the metal chelate, the ligands tested were precursor peptides without radiometal complexation. Peptides were initially dissolved in DMSO, and to minimize signal fluctuations associated with excessively high ligand concentrations, the starting peptide concentration in the MST assay was set at 10 μM. From this concentration, serial two−fold dilutions were prepared down to 0.000305 μM.",,,
CHAF00580,CC02028,EC50,=,4.27,nM,"For affinity determination of GGB02-F9 antibody via ELISA: First, dilute SEZ6 antigen and add it to microplate wells, incubate overnight at 4°C to immobilize the antigen. Discard unbound antigen, add buffer containing blocking agent (e.g., bovine serum albumin), and incubate at room temperature for 1-2 h to block non-specific binding sites on the carrier. Then, add serially diluted GGB02-F9 antibody solution, incubate at room temperature for 1-2 h to enable specific binding between the antibody and immobilized antigen. Wash the microplate repeatedly with PBS buffer containing Tween-20 to remove unbound free antibody. Next, add enzyme-labeled anti-human IgG secondary antibody (e.g., horseradish peroxidase-labeled) and incubate at room temperature for 30 min to 1 h for specific binding to GGB02-F9 bound to the antigen. Add substrate solution (e.g., TMB), incubate in the dark, and then add stop solution (e.g., sulfuric acid solution) to terminate the reaction. Finally, measure the absorbance (OD value) of each well at a specific wavelength (e.g., 450 nm) using a microplate reader.",,,
CHAF00581,C002032,IC50,=,1.82,nM,"PI3K dysregulation drives tumorigenesis, but PI3K inhibitors have severe off-tumor toxicity. This study designed [⁶⁸Ga]Ga/[¹⁷⁷Lu]Lu-P1-4 based on IMM-H012. [¹⁷⁷Lu]Lu-P4 showed superior pharmacodynamic/pharmacokinetic profiles, suppressed subcutaneous melanoma growth safely, and synergized with IMM-H012 via downregulating fatty acid oxidase. It revitalizes PI3K inhibitors as a promising theranostic for multiple cancers.",,,
CHAF00582,CC02056,IC50,=,2.41 ± 0.59,,"Assay system: MC38-Nectin-4 cells expressing Nectin-4 as target cells, and [⁶⁸Ga]Ga-N188 as the standard radioligand known to bind Nectin-4.Incubation design: Co-incubate the standard radioligand with unlabeled ligands (INN1-4 or N188) at different concentrations (10⁻¹²~10⁻⁵ M) at 37℃ for 1 hour.Detection and calculation: Measure cell-bound radioactivity via a γ-counter, fit data with GraphPad Prism 9.5.0 software to calculate the half-maximal inhibitory concentration (IC50). A lower IC50 indicates stronger binding affinity of the ligand for Nectin-4",,,
CHAF00583,CC02072,Kd,=,1.16,uM,"Isothermal Titration Calorimetry (ITC) was employed. Annealed oligonucleotides were mixed with the peptide probe in a buffer containing 25 mM KH₂PO₄ and 60 mM KCl (pH 7.4), and the dissociation constant (K_D) values were obtained through thermodynamic parameter fitting.",,,
CHAF00584,CC02102,Kd,=,2.5,nM,"This study engineered anti-mesothelin (MSLN) 2A10-VH-Fc fusion proteins with GRLR (G236R/L328R) and LALAPG (L234A/L235A/P329G) Fc mutations to abrogate FcγR binding, addressing off-target accumulation in Fc-rich organs of wild-type (WT) VH-Fc. Purified mutants (>95% purity) retained high MSLN affinity (K_D 2.2–3.7 nM) and silenced FcγR binding. After ⁸⁹Zr radiolabeling, PET imaging and biodistribution were tested in multiple MSLN-positive xenograft mouse models (HCT116, A431-G9/H9, AsPC-1). [⁸⁹Zr]Zr-2A10-VH-Fc_LALAPG showed drastically higher tumor uptake (13.0±0.1%ID/g at 120 h p.i. in HCT116) vs WT (4.2±0.6%ID/g), and markedly reduced liver/spleen accumulation. Both mutants exhibited sex-specific renal retention (females > males), unrelated to stability. LALAPG outperformed GRLR in in vivo stability and intratumoral distribution. These findings validate Fc-engineered VH-Fc, especially LALAPG, as promising PET agents for MSLN-expressing tumors, highlighting sex consideration in preclinical research.",,,
CHAF00585,CC02106,Kd,=,63.2,nM,"The binding affinities of TPP-1 and NOTA-Asp₂-TPP-1 to human PD-L1 were quantified via Surface Plasmon Resonance (SPR). This technique measured the dissociation constant (K_D), a key affinity index. TPP-1 had a K_D of 63.2 nM and NOTA-Asp₂-TPP-1 59.4 nM, both showing high PD-L1 binding affinity, with the Asp₂ modification not impairing the binding capacity.",,,
CHAF00586,CC02107,Kd,=,2.23*10^−8,M,,,,
CHAF00587,CC02120,Kd,=,3.268,nM,,,,
CHAF00588,CC02143,IC50​,=,7.7,,,,,
CHAF00589,CC02132,Kd,=,0.3 ± 0.2,µM,,,,
CHAF00590,CC02132,Kd,=,0.3 ± 0.2,µM,"This study develops 177Lu/68Ga-labeled EphA2-targeting cyclic peptide CEMJ4 (high affinity, good stability). Combined with HPK1 inhibitor, it shows synergistic anti-tumor effects in B16F10 models by inhibiting tumor growth, reversing 177Lu-induced T cell suppression, and increasing tumor-infiltrating immune cells, highlighting potential for refractory cold tumor theranostics.",,,
