drug_id,target_id,evidence,created_at,updated_at
RDC00376,TAR0064,,,
RDC00377,TAR0064,,,
RDC00378,TAR0023,,,
RDC00379,TAR0023,,,
RDC00380,TAR0023,,,
RDC00381,TAR0023,,,
RDC00382,TAR0023,,,
RDC00383,TAR0023,,,
RDC00384,TAR0023,,,
RDC00385,TAR0023,,,
RDC00386,TAR0023,,,
RDC00386,TAR0063,,,
RDC00387,TAR0055,,,
RDC00389,TAR0023,,,
RDC00390,TAR0023,,,
RDC00391,TAR0023,,,
RDC00392,TAR0023,,,
RDC00394,TAR0064,,,
RDC00397,TAR0064,,,
RDC00398,TAR0023,,,
RDC00399,TAR0023,,,
RDC00402,TAR0023,,,
RDC00403,TAR0023,,,
RDC00406,TAR0023,,,
RDC00407,TAR0016,,,
RDC00408,TAR0016,,,
RDC00408,TAR0023,,,
RDC00409,TAR0023,,,
RDC00410,TAR0016,,,
RDC00410,TAR0023,,,
RDC00411,TAR0023,,,
RDC00412,TAR0023,,,
RDC00413,TAR0023,,,
RDC00416,TAR0063,,,
RDC00417,TAR0063,,,
RDC00419,TAR0023,,,
RDC00423,TAR0023,,,
RDC00424,TAR0023,,,
RDC00425,TAR0023,,,
RDC00426,TAR0023,,,
RDC00427,TAR0023,,,
RDC00431,TAR0023,,,
RDC00435,TAR0023,,,
RDC00437,TAR0023,,,
RDC00438,TAR0047,,,
RDC00439,TAR0069,,,
RDC00439,TAR0023,,,
RDC00440,TAR0023,,,
RDC00443,TAR0023,,,
RDC00444,TAR0023,,,
RDC00445,TAR0023,,,
RDC00447,TAR0023,,,
RDC00448,TAR0023,,,
RDC00449,TAR0023,,,
RDC00451,TAR0023,,,
RDC00453,TAR0023,,,
RDC00456,TAR0023,,,
RDC00457,TAR0023,,,
RDC00461,TAR0023,,,
RDC00462,TAR0023,,,
RDC00462,TAR0020,,,
RDC00467,TAR0023,,,
RDC00469,TAR0023,,,
RDC00468,TAR0023,,,
RDC00470,TAR0023,,,
RDC00471,TAR0023,,,
RDC00472,TAR0023,,,
RDC00473,TAR0023,,,
RDC00474,TAR0023,,,
RDC00475,TAR0023,,,
RDC00476,TAR0023,,,
RDC00480,TAR0023,,,
RDC00483,TAR0023,,,
RDC00487,TAR0023,,,
RDC00486,TAR0023,,,
RDC00488,TAR0023,,,
RDC00489,TAR0023,,,
RDC00494,TAR0023,,,
RDC00495,TAR0023,,,
RDC00497,TAR0023,,,
RDC00500,TAR0051,,,
RDC00501,TAR0023,,,
RDC00504,TAR0023,,,
RDC00510,TAR0015,,,
RDC00510,TAR0016,,,
RDC00511,TAR0016,,,
RDC00511,TAR0034,,,
RDC00512,TAR0015,,,
RDC00512,TAR0016,,,
RDC00513,TAR0015,,,
RDC00514,TAR0015,,,
RDC00515,TAR0015,,,
